Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.1 (lin64) Build 5076996 Wed May 22 18:36:09 MDT 2024
| Date         : Fri Jul  5 03:38:25 2024
| Host         : binhkieudo running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_utilization -hierarchical -file /home/binhkieudo/Workspace/NewFramework/framework/generated-src/framework.fpga.vc707.VC707woDDRHarness.SmallRocketMTOptimizedMemVC707Config/obj/report/utilization.txt
| Design       : VC707woDDRHarness
| Device       : xc7vx485tffg1761-2
| Speed File   : -2
| Design State : Physopt postRoute
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------+------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                           Instance                          |                                    Module                                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
|       intsource_10                                          |                                                    IntSyncCrossingSource_1_4 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_350 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_11                                          |                                                    IntSyncCrossingSource_1_5 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_349 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_2                                           |                                                    IntSyncCrossingSource_1_6 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_348 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_3                                           |                                                   IntSyncCrossingSource_17_7 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w2_i0_347 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|       intsource_4                                           |                                                    IntSyncCrossingSource_1_8 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_346 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_5                                           |                                                    IntSyncCrossingSource_1_9 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_345 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_6                                           |                                                  IntSyncCrossingSource_17_10 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w2_i0_344 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|       intsource_7                                           |                                                   IntSyncCrossingSource_1_11 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_343 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_8                                           |                                                   IntSyncCrossingSource_1_12 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_342 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       intsource_9                                           |                                                  IntSyncCrossingSource_17_13 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|         reg_0                                               |                                                       AsyncResetRegVec_w2_i0 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|       plicDomainWrapper                                     |                                                              ClockSinkDomain |       1301 |       1301 |       0 |    0 |   388 |      0 |      0 |          0 |
|         (plicDomainWrapper)                                 |                                                              ClockSinkDomain |         26 |         26 |       0 |    0 |     0 |      0 |      0 |          0 |
|         plic                                                |                                                                       TLPLIC |       1275 |       1275 |       0 |    0 |   388 |      0 |      0 |          0 |
|           (plic)                                            |                                                                       TLPLIC |        816 |        816 |       0 |    0 |   304 |      0 |      0 |          0 |
|           gateways_gateway                                  |                                                                 LevelGateway |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_1                                |                                                             LevelGateway_325 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_10                               |                                                             LevelGateway_326 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_11                               |                                                             LevelGateway_327 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_12                               |                                                             LevelGateway_328 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_13                               |                                                             LevelGateway_329 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_14                               |                                                             LevelGateway_330 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_15                               |                                                             LevelGateway_331 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_16                               |                                                             LevelGateway_332 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_17                               |                                                             LevelGateway_333 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_2                                |                                                             LevelGateway_334 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_3                                |                                                             LevelGateway_335 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_4                                |                                                             LevelGateway_336 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_5                                |                                                             LevelGateway_337 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_6                                |                                                             LevelGateway_338 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_7                                |                                                             LevelGateway_339 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_8                                |                                                             LevelGateway_340 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           gateways_gateway_9                                |                                                             LevelGateway_341 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|           out_back                                          |                                                                     Queue_31 |        441 |        441 |       0 |    0 |    66 |      0 |      0 |          0 |
|             (out_back)                                      |                                                                     Queue_31 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|             ram_ext                                         |                                                                ram_combMem_5 |        440 |        440 |       0 |    0 |    65 |      0 |      0 |          0 |
|       prci_ctrl_domain                                      |                                                            ClockSinkDomain_5 |         12 |         12 |       0 |    0 |     4 |      0 |      0 |          0 |
|         clock_gater                                         |                                                               TileClockGater |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           regs_0                                            |                                                       AsyncResetRegVec_w1_i1 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         resetSynchronizer                                   |                                                  ClockGroupResetSynchronizer |         12 |         12 |       0 |    0 |     3 |      0 |      0 |          0 |
|           x1_member_allClocks_uncore_reset_catcher          |                                                     ResetCatchAndSync_d3_322 |         12 |         12 |       0 |    0 |     3 |      0 |      0 |          0 |
|             io_sync_reset_chain                             |                                  AsyncResetSynchronizerShiftReg_w1_d3_i0_323 |         12 |         12 |       0 |    0 |     3 |      0 |      0 |          0 |
|               output_chain                                  |                            AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_324 |         12 |         12 |       0 |    0 |     3 |      0 |      0 |          0 |
|       ram                                                   |                                                                        TLRAM |         68 |         68 |       0 |    0 |    77 |      0 |      8 |          0 |
|         (ram)                                               |                                                                        TLRAM |         14 |         14 |       0 |    0 |    77 |      0 |      0 |          0 |
|         mem                                                 |                                                                          mem |         54 |         54 |       0 |    0 |     0 |      0 |      8 |          0 |
|           mem_ext                                           |                                                                      mem_ext |         54 |         54 |       0 |    0 |     0 |      0 |      8 |          0 |
|             mem_0_0                                         |                                                                split_mem_ext |          9 |          9 |       0 |    0 |     0 |      0 |      1 |          0 |
|             mem_0_1                                         |                                                            split_mem_ext_315 |          9 |          9 |       0 |    0 |     0 |      0 |      1 |          0 |
|             mem_0_2                                         |                                                            split_mem_ext_316 |          6 |          6 |       0 |    0 |     0 |      0 |      1 |          0 |
|             mem_0_3                                         |                                                            split_mem_ext_317 |          6 |          6 |       0 |    0 |     0 |      0 |      1 |          0 |
|             mem_0_4                                         |                                                            split_mem_ext_318 |          8 |          8 |       0 |    0 |     0 |      0 |      1 |          0 |
|             mem_0_5                                         |                                                            split_mem_ext_319 |          5 |          5 |       0 |    0 |     0 |      0 |      1 |          0 |
|             mem_0_6                                         |                                                            split_mem_ext_320 |          6 |          6 |       0 |    0 |     0 |      0 |      1 |          0 |
|             mem_0_7                                         |                                                            split_mem_ext_321 |          5 |          5 |       0 |    0 |     0 |      0 |      1 |          0 |
|       ram_1                                                 |                                                                      TLRAM_1 |         67 |         67 |       0 |    0 |    77 |     16 |      0 |          0 |
|         (ram_1)                                             |                                                                      TLRAM_1 |         19 |         19 |       0 |    0 |    77 |      0 |      0 |          0 |
|         mem                                                 |                                                                        mem_0 |         48 |         48 |       0 |    0 |     0 |     16 |      0 |          0 |
|           mem_0_ext                                         |                                                                    mem_0_ext |         48 |         48 |       0 |    0 |     0 |     16 |      0 |          0 |
|             mem_0_0                                         |                                                              split_mem_0_ext |          6 |          6 |       0 |    0 |     0 |      2 |      0 |          0 |
|             mem_0_1                                         |                                                          split_mem_0_ext_308 |          6 |          6 |       0 |    0 |     0 |      2 |      0 |          0 |
|             mem_0_2                                         |                                                          split_mem_0_ext_309 |          6 |          6 |       0 |    0 |     0 |      2 |      0 |          0 |
|             mem_0_3                                         |                                                          split_mem_0_ext_310 |          6 |          6 |       0 |    0 |     0 |      2 |      0 |          0 |
|             mem_0_4                                         |                                                          split_mem_0_ext_311 |          6 |          6 |       0 |    0 |     0 |      2 |      0 |          0 |
|             mem_0_5                                         |                                                          split_mem_0_ext_312 |          6 |          6 |       0 |    0 |     0 |      2 |      0 |          0 |
|             mem_0_6                                         |                                                          split_mem_0_ext_313 |          6 |          6 |       0 |    0 |     0 |      2 |      0 |          0 |
|             mem_0_7                                         |                                                          split_mem_0_ext_314 |          6 |          6 |       0 |    0 |     0 |      2 |      0 |          0 |
|       spiClockDomainWrapper                                 |                                                            ClockSinkDomain_4 |        219 |        207 |      12 |    0 |   185 |      0 |      0 |          0 |
|         spi_0                                               |                                                                        TLSPI |        219 |        207 |      12 |    0 |   185 |      0 |      0 |          0 |
|           (spi_0)                                           |                                                                        TLSPI |          3 |          3 |       0 |    0 |    85 |      0 |      0 |          0 |
|           fifo                                              |                                                                      SPIFIFO |         32 |         20 |      12 |    0 |    17 |      0 |      0 |          0 |
|             (fifo)                                          |                                                                      SPIFIFO |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|             rxq                                             |                                                                 Queue_32_304 |         17 |         11 |       6 |    0 |     7 |      0 |      0 |          0 |
|               (rxq)                                         |                                                                 Queue_32_304 |          8 |          8 |       0 |    0 |     7 |      0 |      0 |          0 |
|               ram_ext                                       |                                                              ram_combMem_307 |         10 |          4 |       6 |    0 |     0 |      0 |      0 |          0 |
|             txq                                             |                                                                 Queue_32_305 |         15 |          9 |       6 |    0 |     7 |      0 |      0 |          0 |
|               (txq)                                         |                                                                 Queue_32_305 |          9 |          9 |       0 |    0 |     7 |      0 |      0 |          0 |
|               ram_ext                                       |                                                              ram_combMem_306 |          6 |          0 |       6 |    0 |     0 |      0 |      0 |          0 |
|           intsource                                         |                                                  IntSyncCrossingSource_1_302 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|             reg_0                                           |                                                   AsyncResetRegVec_w1_i0_303 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           mac                                               |                                                                     SPIMedia |        184 |        184 |       0 |    0 |    82 |      0 |      0 |          0 |
|             (mac)                                           |                                                                     SPIMedia |          1 |          1 |       0 |    0 |     7 |      0 |      0 |          0 |
|             phy                                             |                                                                  SPIPhysical |        183 |        183 |       0 |    0 |    75 |      0 |      0 |          0 |
|       subsystem_cbus                                        |                                                               PeripheryBus_1 |       3416 |       3216 |     200 |    0 |   878 |      0 |      0 |          0 |
|         atomics                                             |                                                           TLAtomicAutomata_1 |        398 |        398 |       0 |    0 |   208 |      0 |      0 |          0 |
|         buffer                                              |                                                                   TLBuffer_5 |        639 |        503 |     136 |    0 |     6 |      0 |      0 |          0 |
|           bundleIn_0_d_q                                    |                                                                  Queue_9_299 |        470 |        414 |      56 |    0 |     3 |      0 |      0 |          0 |
|             (bundleIn_0_d_q)                                |                                                                  Queue_9_299 |          8 |          8 |       0 |    0 |     3 |      0 |      0 |          0 |
|             ram_ext                                         |                                                            ram_combMem_2_301 |        462 |        406 |      56 |    0 |     0 |      0 |      0 |          0 |
|           x1_a_q                                            |                                                                      Queue_8 |        169 |         89 |      80 |    0 |     3 |      0 |      0 |          0 |
|             (x1_a_q)                                        |                                                                      Queue_8 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|             ram_ext                                         |                                                            ram_combMem_9_300 |        166 |         86 |      80 |    0 |     0 |      0 |      0 |          0 |
|         coupler_to_bootrom                                  |                                                     TLInterconnectCoupler_21 |         39 |         39 |       0 |    0 |    31 |      0 |      0 |          0 |
|           fragmenter                                        |                                                               TLFragmenter_8 |         39 |         39 |       0 |    0 |    31 |      0 |      0 |          0 |
|             (fragmenter)                                    |                                                               TLFragmenter_8 |          5 |          5 |       0 |    0 |     9 |      0 |      0 |          0 |
|             repeater                                        |                                                                   Repeater_8 |         34 |         34 |       0 |    0 |    22 |      0 |      0 |          0 |
|         coupler_to_clint                                    |                                                     TLInterconnectCoupler_15 |        151 |        151 |       0 |    0 |    34 |      0 |      0 |          0 |
|           fragmenter                                        |                                                               TLFragmenter_6 |        151 |        151 |       0 |    0 |    34 |      0 |      0 |          0 |
|             (fragmenter)                                    |                                                               TLFragmenter_6 |          1 |          1 |       0 |    0 |     9 |      0 |      0 |          0 |
|             repeater                                        |                                                                   Repeater_6 |        151 |        151 |       0 |    0 |    25 |      0 |      0 |          0 |
|         coupler_to_debug                                    |                                                     TLInterconnectCoupler_17 |        953 |        953 |       0 |    0 |    30 |      0 |      0 |          0 |
|           fragmenter                                        |                                                               TLFragmenter_7 |        953 |        953 |       0 |    0 |    30 |      0 |      0 |          0 |
|             (fragmenter)                                    |                                                               TLFragmenter_7 |          9 |          9 |       0 |    0 |     9 |      0 |      0 |          0 |
|             repeater                                        |                                                                   Repeater_7 |        944 |        944 |       0 |    0 |    21 |      0 |      0 |          0 |
|         coupler_to_plic                                     |                                                     TLInterconnectCoupler_14 |         31 |         31 |       0 |    0 |    44 |      0 |      0 |          0 |
|           fragmenter                                        |                                                               TLFragmenter_5 |         31 |         31 |       0 |    0 |    44 |      0 |      0 |          0 |
|             (fragmenter)                                    |                                                               TLFragmenter_5 |          8 |          8 |       0 |    0 |     9 |      0 |      0 |          0 |
|             repeater                                        |                                                                   Repeater_5 |         23 |         23 |       0 |    0 |    35 |      0 |      0 |          0 |
|         coupler_to_prci_ctrl                                |                                                     TLInterconnectCoupler_23 |        705 |        665 |      40 |    0 |   425 |      0 |      0 |          0 |
|           buffer                                            |                                                                   TLBuffer_8 |         51 |         11 |      40 |    0 |     6 |      0 |      0 |          0 |
|             bundleIn_0_d_q                                  |                                                                  Queue_1_297 |         20 |          8 |      12 |    0 |     3 |      0 |      0 |          0 |
|               (bundleIn_0_d_q)                              |                                                                  Queue_1_297 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|               ram_ext                                       |                                                            ram_combMem_1_298 |         18 |          6 |      12 |    0 |     0 |      0 |      0 |          0 |
|             x1_a_q                                          |                                                                     Queue_13 |         31 |          3 |      28 |    0 |     3 |      0 |      0 |          0 |
|               (x1_a_q)                                      |                                                                     Queue_13 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|               ram_ext                                       |                                                                ram_combMem_6 |         29 |          1 |      28 |    0 |     0 |      0 |      0 |          0 |
|           fixer                                             |                                                                TLFIFOFixer_3 |        132 |        132 |       0 |    0 |   386 |      0 |      0 |          0 |
|           fragmenter                                        |                                                              TLFragmenter_10 |        522 |        522 |       0 |    0 |    33 |      0 |      0 |          0 |
|             (fragmenter)                                    |                                                              TLFragmenter_10 |         16 |         16 |       0 |    0 |    11 |      0 |      0 |          0 |
|             repeater                                        |                                                                  Repeater_10 |        507 |        507 |       0 |    0 |    22 |      0 |      0 |          0 |
|         coupler_to_subsystem_cbusscratchpad00               |                                                     TLInterconnectCoupler_22 |         42 |         42 |       0 |    0 |    31 |      0 |      0 |          0 |
|           fragmenter                                        |                                                           TLFragmenter_2_295 |         42 |         42 |       0 |    0 |    31 |      0 |      0 |          0 |
|             (fragmenter)                                    |                                                           TLFragmenter_2_295 |          8 |          8 |       0 |    0 |     9 |      0 |      0 |          0 |
|             repeater                                        |                                                               Repeater_2_296 |         34 |         34 |       0 |    0 |    22 |      0 |      0 |          0 |
|         out_xbar                                            |                                                                     TLXbar_5 |        379 |        379 |       0 |    0 |    32 |      0 |      0 |          0 |
|         wrapped_error_device                                |                                                           ErrorDeviceWrapper |         88 |         64 |      24 |    0 |    37 |      0 |      0 |          0 |
|           buffer                                            |                                                                   TLBuffer_6 |         50 |         26 |      24 |    0 |     6 |      0 |      0 |          0 |
|             bundleIn_0_d_q                                  |                                                                      Queue_9 |         34 |         22 |      12 |    0 |     3 |      0 |      0 |          0 |
|               (bundleIn_0_d_q)                              |                                                                      Queue_9 |          6 |          6 |       0 |    0 |     3 |      0 |      0 |          0 |
|               ram_ext                                       |                                                                ram_combMem_2 |         28 |         16 |      12 |    0 |     0 |      0 |      0 |          0 |
|             x1_a_q                                          |                                                                     Queue_11 |         16 |          4 |      12 |    0 |     3 |      0 |      0 |          0 |
|               (x1_a_q)                                      |                                                                     Queue_11 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|               ram_ext                                       |                                                                ram_combMem_4 |         13 |          1 |      12 |    0 |     0 |      0 |      0 |          0 |
|           error                                             |                                                                      TLError |         38 |         38 |       0 |    0 |    31 |      0 |      0 |          0 |
|             (error)                                         |                                                                      TLError |         10 |         10 |       0 |    0 |    18 |      0 |      0 |          0 |
|             a                                               |                                                                     Queue_10 |         28 |         28 |       0 |    0 |    13 |      0 |      0 |          0 |
|               (a)                                           |                                                                     Queue_10 |          2 |          2 |       0 |    0 |     1 |      0 |      0 |          0 |
|               ram_ext                                       |                                                                ram_combMem_3 |         26 |         26 |       0 |    0 |    12 |      0 |      0 |          0 |
|       subsystem_fbus_buffer                                 |                                                                   TLBuffer_3 |        157 |         23 |     134 |    0 |     6 |      0 |      0 |          0 |
|         bundleIn_0_d_q                                      |                                                                  Queue_5_291 |         61 |          7 |      54 |    0 |     3 |      0 |      0 |          0 |
|           (bundleIn_0_d_q)                                  |                                                                  Queue_5_291 |          6 |          6 |       0 |    0 |     3 |      0 |      0 |          0 |
|           ram_ext                                           |                                                            ram_combMem_1_294 |         55 |          1 |      54 |    0 |     0 |      0 |      0 |          0 |
